age,annual_income,employment_years,loan_amount,credit_score,existing_debt,num_open_accounts,previous_defaults,loan_purpose,debt_to_income,loan_to_income,risk_category
59,37859.35,1.6,14644.31,652,10045.58,13,0,home_improvement,0.2653,0.3868,Low
49,25738.36,0.1,9477.41,673,18338.94,13,0,debt_consolidation,0.7125,0.3682,High
35,37496.05,2.2,7351.18,684,6057.64,13,0,debt_consolidation,0.1615,0.196,Low
63,106905.75,1.5,12085.03,764,4262.7,6,0,education,0.0399,0.113,Low
28,37514.46,5.8,10777.11,505,10159.67,9,0,medical,0.2708,0.2873,High
41,57747.04,1.8,12134.55,526,3996.92,14,0,debt_consolidation,0.0692,0.2101,Low
59,36031.76,2.4,7877.41,642,3396.86,9,0,other,0.0943,0.2186,Medium
39,71805.24,6.5,43813.82,679,4527.49,5,0,debt_consolidation,0.0631,0.6102,Low
43,64112.82,3.3,6957.6,518,6374.97,1,0,business,0.0994,0.1085,High
31,23258.07,4.1,11366.98,645,5694.93,0,1,business,0.2448,0.4887,High
31,56050.93,9.2,3924.37,590,6173.98,2,1,medical,0.1101,0.07,Medium
44,21135.44,1.2,6675.02,547,1317.2,8,0,business,0.0623,0.3158,Medium
56,37159.18,22.6,6118.92,636,3074.53,9,0,home_improvement,0.0827,0.1647,Low
60,48741.35,11.5,9673.61,707,11009.75,12,0,business,0.2259,0.1985,Low
44,123430.43,1.7,11506.45,798,2866.76,4,0,other,0.0232,0.0932,Low
23,57466.43,11.2,10372.34,819,1344.72,4,0,debt_consolidation,0.0234,0.1805,Low
42,33404.87,7.0,9621.73,750,24326.76,14,0,education,0.7282,0.288,Low
22,41831.08,13.4,15192.42,676,22918.73,9,0,debt_consolidation,0.5479,0.3632,Low
44,77815.69,5.9,15908.04,641,14264.87,9,0,debt_consolidation,0.1833,0.2044,Low
64,33632.28,5.6,3200.27,662,4696.69,3,1,other,0.1396,0.0952,High
50,84837.19,0.0,25199.58,662,7478.55,3,1,medical,0.0882,0.297,Medium
58,37739.94,3.2,15626.79,740,2484.88,6,0,other,0.0658,0.4141,Low
22,31018.54,1.1,4123.52,778,3483.48,10,1,debt_consolidation,0.1123,0.1329,High
41,38349.57,2.0,22906.83,557,2467.06,9,0,home_improvement,0.0643,0.5973,High
53,21847.85,19.3,24632.53,626,8661.62,1,0,education,0.3964,1.1274,Medium
32,16542.89,0.4,4051.63,727,69065.67,12,0,business,4.1747,0.2449,High
42,47039.0,6.4,11077.13,640,4232.71,6,0,debt_consolidation,0.09,0.2355,Low
64,47398.75,0.9,15650.49,617,11175.48,3,1,home_improvement,0.2358,0.3302,High
45,55727.6,0.0,25383.92,743,12903.86,5,0,debt_consolidation,0.2315,0.4555,Medium
47,46922.98,3.5,17940.93,609,6481.89,13,0,home_improvement,0.1381,0.3823,High
62,157098.23,0.9,9529.4,703,8569.86,0,1,other,0.0546,0.0607,Low
48,53327.35,16.8,6977.75,625,6297.2,11,0,debt_consolidation,0.1181,0.1308,Low
36,24631.18,1.1,5501.88,827,10994.97,13,0,home_improvement,0.4464,0.2234,Low
35,28002.32,1.1,7654.58,750,1487.67,6,0,business,0.0531,0.2733,Low
64,49028.27,0.2,18447.04,624,6211.12,2,0,debt_consolidation,0.1267,0.3762,High
23,39430.18,2.0,23215.72,672,5076.54,14,0,medical,0.1287,0.5888,Low
57,26522.8,0.1,10653.58,697,4599.52,8,0,home_improvement,0.1734,0.4017,High
27,47599.42,3.5,25792.77,617,2848.11,4,0,home_improvement,0.0598,0.5419,Medium
41,47948.74,3.5,17063.36,625,15583.7,14,1,home_improvement,0.325,0.3559,High
29,108863.15,0.3,60891.97,717,5891.13,11,0,education,0.0541,0.5593,Medium
59,31006.59,1.4,4449.32,650,12516.89,5,0,business,0.4037,0.1435,Medium
38,39780.66,8.9,11717.76,538,5974.46,9,0,business,0.1502,0.2946,High
24,108695.77,3.1,15173.74,695,12282.06,5,1,home_improvement,0.113,0.1396,Medium
45,57773.94,2.9,40479.93,727,8202.83,6,0,home_improvement,0.142,0.7006,Low
34,30915.8,6.0,5581.13,624,4424.81,2,0,education,0.1431,0.1805,Low
29,34290.85,6.3,7483.0,588,14125.96,10,0,medical,0.4119,0.2182,Low
46,26713.4,7.2,13808.27,756,8136.34,0,1,debt_consolidation,0.3046,0.5169,Medium
22,50951.85,8.9,6412.91,662,4553.1,0,0,medical,0.0894,0.1259,Low
40,82090.7,1.3,11509.17,644,1267.89,6,0,education,0.0154,0.1402,Low
48,110796.52,0.3,5007.72,643,8249.5,10,0,education,0.0745,0.0452,Low
27,23315.16,2.4,27368.07,766,24960.97,11,0,home_improvement,1.0705,1.1738,High
64,75701.91,9.7,36588.74,671,9649.21,9,0,business,0.1275,0.4833,Low
28,53218.24,0.4,37390.95,685,6365.58,12,0,home_improvement,0.1196,0.7026,Low
55,43003.42,4.3,14646.47,638,2717.69,1,0,business,0.0632,0.3406,High
34,39788.41,6.0,14841.08,651,1302.75,6,0,business,0.0327,0.373,Low
37,18760.97,3.3,13262.19,625,10573.14,14,0,home_improvement,0.5635,0.7069,Medium
56,67440.39,1.5,22395.51,689,6610.93,11,0,business,0.098,0.3321,Medium
60,25350.95,2.0,28476.13,561,1989.74,7,0,education,0.0785,1.1232,High
24,33721.88,0.4,20496.18,669,3816.68,0,0,debt_consolidation,0.1132,0.6078,Low
22,60414.98,1.7,15452.86,621,3855.78,4,1,education,0.0638,0.2558,Medium
26,19765.28,0.2,20399.25,609,7429.83,9,0,other,0.3759,1.032,High
62,25326.41,6.5,13275.76,686,5147.99,1,0,debt_consolidation,0.2033,0.5242,Medium
24,90159.11,11.4,5974.03,650,11935.39,12,0,other,0.1324,0.0663,Low
49,52105.69,5.0,9368.24,571,22589.23,2,0,home_improvement,0.4335,0.1798,High
38,35203.45,5.3,15180.58,579,7034.81,4,0,other,0.1998,0.4312,High
46,52208.37,3.2,7924.94,666,922.29,9,0,home_improvement,0.0177,0.1518,Low
64,68510.22,0.8,7601.95,587,9239.59,4,0,education,0.1349,0.111,Low
54,86024.2,0.0,19358.78,517,8855.57,13,1,business,0.1029,0.225,Medium
30,28107.24,2.1,20096.4,716,9691.15,1,0,education,0.3448,0.715,Medium
56,29365.65,7.0,15953.1,551,16394.65,13,1,education,0.5583,0.5432,High
34,66447.78,16.1,9910.59,621,12851.44,3,0,other,0.1934,0.1491,High
51,67521.83,2.8,10909.77,577,6671.04,6,0,debt_consolidation,0.0988,0.1616,Low
35,25034.63,2.3,20333.52,575,1030.35,5,0,other,0.0412,0.8122,Medium
28,29921.86,3.0,7777.63,677,8122.6,14,0,debt_consolidation,0.2715,0.2599,Low
34,44494.74,2.8,5580.66,598,10211.31,2,0,education,0.2295,0.1254,Medium
43,49602.08,4.9,18111.77,632,20172.44,12,0,home_improvement,0.4067,0.3651,Medium
60,50310.29,6.6,12436.12,505,14732.23,3,0,debt_consolidation,0.2928,0.2472,High
41,24843.17,7.7,29270.33,790,14388.63,11,0,debt_consolidation,0.5792,1.1782,Low
36,50056.81,5.2,7050.42,679,2783.35,6,0,business,0.0556,0.1408,Low
38,34245.64,2.9,25458.67,762,5697.42,10,0,debt_consolidation,0.1664,0.7434,Low
44,27360.1,15.0,9411.87,752,1028.84,0,0,other,0.0376,0.344,Low
46,48752.02,6.2,21359.54,745,2350.81,12,0,debt_consolidation,0.0482,0.4381,Low
45,46328.06,2.8,6166.98,630,6215.69,13,0,home_improvement,0.1342,0.1331,Low
61,73192.38,3.0,5099.59,654,3802.64,7,0,home_improvement,0.052,0.0697,Low
49,31873.04,8.5,16490.65,570,4194.46,7,0,business,0.1316,0.5174,Medium
35,55137.49,2.9,11326.4,657,16577.3,2,0,debt_consolidation,0.3006,0.2054,Medium
21,22374.17,3.6,14700.02,550,580.95,5,1,medical,0.026,0.657,High
